timestamp,i3_photoresistor_baseband,i3_photoresistor_am_demodulated,current_state_binary
2023-02-06 14:17:14,0.046768,0.345001,1
2023-02-06 14:17:16,0.047274,0.316186,1
2023-02-06 14:17:18,0.048518,0.369951,1
2023-02-06 14:17:20,0.050248,0.366979,1
2023-02-06 14:17:22,0.051312,0.37089,1
2023-02-06 14:17:24,0.051284,0.431622,1
2023-02-06 14:17:26,0.051219,0.398121,1
2023-02-06 14:17:28,0.052402,0.38233,1
2023-02-06 14:17:30,0.054556,0.400655,1
2023-02-06 14:17:32,0.056069,0.336332,1
2023-02-06 14:17:34,0.056158,0.357765,1
2023-02-06 14:17:36,0.056299,0.427836,1
2023-02-06 14:17:38,0.058995,0.426538,1
2023-02-06 14:17:40,0.065067,0.405121,1
2023-02-06 14:17:42,0.072597,0.38768,1
2023-02-06 14:17:44,0.078627,0.387464,1
2023-02-06 14:17:46,0.081749,0.385309,1
2023-02-06 14:17:48,0.082697,0.4007,1
2023-02-06 14:17:50,0.083056,0.389492,1
2023-02-06 14:17:52,0.08383,0.380683,1
2023-02-06 14:17:54,0.08529,0.47221,1
2023-02-06 14:17:56,0.087293,0.464073,1
2023-02-06 14:17:58,0.089265,0.375097,1
2023-02-06 14:18:00,0.090373,0.396252,1
2023-02-06 14:18:02,0.09046,0.399053,1
2023-02-06 14:18:04,0.091009,0.380039,1
2023-02-06 14:18:06,0.094402,0.408323,1
2023-02-06 14:18:08,0.101561,0.471567,1
2023-02-06 14:18:10,0.110442,0.475682,1
2023-02-06 14:18:12,0.117441,0.37615,1
2023-02-06 14:18:14,0.120495,0.392944,1
2023-02-06 14:18:16,0.120634,0.442391,1
2023-02-06 14:18:18,0.120547,0.410041,1
2023-02-06 14:18:20,0.121952,0.45786,1
2023-02-06 14:18:22,0.124447,0.481643,1
2023-02-06 14:18:24,0.126566,0.441814,1
2023-02-06 14:18:26,0.127493,0.459602,1
2023-02-06 14:18:28,0.127759,0.490465,1
2023-02-06 14:18:30,0.128536,0.466416,1
2023-02-06 14:18:32,0.130326,0.429183,1
2023-02-06 14:18:34,0.132291,0.459725,1
2023-02-06 14:18:36,0.133062,0.449211,1
2023-02-06 14:18:38,0.132418,0.420523,1
2023-02-06 14:18:40,0.132214,0.437364,1
2023-02-06 14:18:42,0.135107,0.414612,1
2023-02-06 14:18:44,0.14192,0.445174,1
2023-02-06 14:18:46,0.1504,0.440615,1
2023-02-06 14:18:48,0.156936,0.396531,1
2023-02-06 14:18:50,0.159654,0.470382,1
2023-02-06 14:18:52,0.159658,0.444869,1
2023-02-06 14:18:54,0.15938,0.421707,1
2023-02-06 14:18:56,0.160154,0.46152,1
2023-02-06 14:18:58,0.161569,0.38798,1
2023-02-06 14:19:00,0.162625,0.425862,1
2023-02-06 14:19:02,0.162851,0.478285,1
2023-02-06 14:19:04,0.162377,0.422672,1
2023-02-06 14:19:06,0.161478,0.418792,1
2023-02-06 14:19:08,0.160579,0.449606,1
2023-02-06 14:19:10,0.160313,0.496131,1
2023-02-06 14:19:12,0.161076,0.497826,1
2023-02-06 14:19:14,0.162533,0.469928,1
2023-02-06 14:19:16,0.163664,0.466128,1
2023-02-06 14:19:18,0.163813,0.441434,1
2023-02-06 14:19:20,0.1634,0.487695,1
2023-02-06 14:19:22,0.163418,0.493922,1
2023-02-06 14:19:24,0.164298,0.453739,1
2023-02-06 14:19:26,0.165433,0.483421,1
2023-02-06 14:19:28,0.165892,0.418542,1
2023-02-06 14:19:30,0.16553,0.363855,1
2023-02-06 14:19:32,0.165187,0.430531,1
2023-02-06 14:19:34,0.165746,0.445688,1
2023-02-06 14:19:36,0.1671,0.415304,1
2023-02-06 14:19:38,0.16828,0.42565,1
2023-02-06 14:19:40,0.168771,0.522592,1
2023-02-06 14:19:42,0.169266,0.511338,1
2023-02-06 14:19:44,0.17073,0.406713,1
2023-02-06 14:19:46,0.172783,0.47929,1
2023-02-06 14:19:48,0.173627,0.512138,1
2023-02-06 14:19:50,0.172206,0.462106,1
2023-02-06 14:19:52,0.170179,0.479841,1
2023-02-06 14:19:54,0.170765,0.44646,1
2023-02-06 14:19:56,0.175125,0.41297,1
2023-02-06 14:19:58,0.180384,0.434724,1
2023-02-06 14:20:00,0.182071,0.446715,1
2023-02-06 14:20:02,0.17868,0.442145,1
2023-02-06 14:20:04,0.173279,0.416554,1
2023-02-06 14:20:06,0.170319,0.428379,1
2023-02-06 14:20:08,0.171252,0.452297,1
2023-02-06 14:20:10,0.173694,0.444479,1
2023-02-06 14:20:12,0.174544,0.448851,1
2023-02-06 14:20:14,0.173173,0.482451,1
2023-02-06 14:20:16,0.171332,0.490871,1
2023-02-06 14:20:18,0.17062,0.421539,1
2023-02-06 14:20:20,0.170884,0.395988,1
2023-02-06 14:20:22,0.170966,0.450433,1
2023-02-06 14:20:24,0.170321,0.472824,1
2023-02-06 14:20:26,0.16946,0.488844,1
2023-02-06 14:20:28,0.169061,0.471741,1
2023-02-06 14:20:30,0.169173,0.447909,1
2023-02-06 14:20:32,0.169398,0.477624,1
2023-02-06 14:20:34,0.169505,0.470034,1
2023-02-06 14:20:36,0.169639,0.453352,1
2023-02-06 14:20:38,0.169968,0.432333,1
2023-02-06 14:20:40,0.170389,0.365839,1
2023-02-06 14:20:42,0.170656,0.390649,1
2023-02-06 14:20:44,0.170695,0.48564,1
2023-02-06 14:20:46,0.170635,0.472949,1
2023-02-06 14:20:48,0.170548,0.39813,1
2023-02-06 14:20:50,0.170253,0.452,1
2023-02-06 14:20:52,0.169569,0.529271,1
2023-02-06 14:20:54,0.168817,0.49841,1
2023-02-06 14:20:56,0.168646,0.479397,1
2023-02-06 14:20:58,0.169402,0.497462,1
2023-02-06 14:21:00,0.170621,0.477143,1
2023-02-06 14:21:02,0.171343,0.447369,1
2023-02-06 14:21:04,0.171082,0.430813,1
2023-02-06 14:21:06,0.170314,0.414094,1
2023-02-06 14:21:08,0.169879,0.372821,1
2023-02-06 14:21:10,0.17,0.366427,1
2023-02-06 14:21:12,0.170071,0.423864,1
2023-02-06 14:21:14,0.169505,0.427659,1
