segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
40,0.0,0.347867,0.0,0.345108,0.0,0.395492,0.664887,0.639803,0.776751,0.75113,0.0,0.364236,0.776751,0.75113,0.0,0.43933,0.0,0.413881,0.0,0.325995,0.0,0.377079,0.044168,0.369969,0.0,0.375341,0.0,0.358689,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,0.0,0.696455,1
41,0.0,0.388451,0.0,0.393975,0.0,0.444502,0.664887,0.69697,0.776751,0.794835,0.0,0.436249,0.776751,0.794835,0.0,0.482456,0.0,0.454008,0.0,0.422347,0.0,0.426329,0.044168,0.409974,0.0,0.410278,0.0,0.402605,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,0.0,0.734186,1
42,0.0,0.347101,0.0,0.347493,0.0,0.456045,0.664887,0.57712,0.776751,0.658636,0.0,0.372584,0.776751,0.658636,0.0,0.39494,0.0,0.375259,0.0,0.433746,0.0,0.416742,0.044168,0.397481,0.0,0.380909,0.0,0.391146,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,0.0,0.605872,1
43,0.0,0.361133,0.0,0.377833,0.0,0.487321,0.664887,0.644118,0.776751,0.704287,0.0,0.45441,0.776751,0.704287,0.0,0.443938,0.0,0.41801,0.0,0.61721,0.000904,0.422562,0.043687,0.392529,1e-06,0.379595,0.000504,0.397313,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,0.0,0.62284,1
44,0.0,0.346024,0.0,0.345799,0.333333,0.673143,0.664932,0.583673,0.776788,0.668832,3e-06,0.371011,0.776788,0.668832,2.1e-05,0.398107,1.8e-05,0.378712,1.0,0.866953,0.029869,0.502032,0.03924,0.456727,0.000983,0.418484,0.036115,0.468162,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,0.0,0.61252,1
45,4.3e-05,0.315305,5.8e-05,0.322034,1.0,0.878108,0.658971,0.571964,0.770412,0.665668,0.00716,0.395487,0.770412,0.665668,0.016776,0.411249,0.024912,0.394205,1.0,0.819168,0.529834,0.692773,0.50364,0.630531,0.283001,0.529808,0.489621,0.631131,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,0.0,0.611392,1
46,0.306407,0.364204,0.442168,0.428496,0.333333,0.696589,0.906105,0.687585,0.831469,0.681685,0.893048,0.655902,0.831469,0.681685,0.29947,0.540038,0.304599,0.512443,0.666667,0.624724,0.53041,0.662923,0.505324,0.606909,0.283476,0.508645,0.491119,0.604332,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,0.0,0.579776,1
47,0.781394,0.422575,0.78855,0.4573,0.333333,0.533072,0.920001,0.665076,0.845288,0.657123,0.890819,0.593382,0.845288,0.657123,0.000496,0.468061,0.000374,0.443835,1.0,0.603268,0.03879,0.465673,0.04101,0.432645,0.001663,0.391577,0.047615,0.434725,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,0.0,0.556742,1
48,0.000581,0.385518,0.000992,0.377627,1.0,0.780608,0.675824,0.65277,0.784132,0.741067,0.009729,0.405383,0.784132,0.741067,0.0,0.415481,0.0,0.391401,0.333333,0.488651,0.001386,0.417326,0.043772,0.397709,2e-06,0.3857,0.001024,0.393344,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,0.0,0.661319,1
49,1e-06,0.288301,1e-06,0.289459,1.0,0.695183,0.664815,0.542855,0.776689,0.631788,7e-06,0.323578,0.776689,0.631788,0.0,0.375299,0.0,0.354954,0.0,0.316658,0.0,0.33484,0.044168,0.326275,0.0,0.323756,0.0,0.318679,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,0.0,0.568959,1
50,0.0,0.328196,0.0,0.325674,0.0,0.421368,0.664887,0.608206,0.776751,0.714652,0.0,0.346054,0.776751,0.714652,0.0,0.415195,0.0,0.391283,0.0,0.307838,0.0,0.358779,0.044168,0.352367,0.0,0.356589,0.0,0.341405,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,0.0,0.656535,1
