station,source,signal_col,scheme,SNR_dB,BER
HBW_1,filtered,m1_speed,FSK,22.99,0.52059
HBW_1,filtered,m2_speed,FSK,22.914,0.50739
HBW_1,filtered,m3_speed,FSK,23.004,0.49261
HBW_1,filtered,current_task,FSK,22.984,0.48627
HBW_1,filtered,current_task_duration,FSK,22.979,0.47941
HBW_1,filtered,current_sub_task,FSK,22.993,0.48944
HBW_1,filtered,i1_light_barrier,FSK,23.015,0.47413
HBW_1,filtered,i2_light_barrier,FSK,22.984,0.47888
HBW_1,filtered,i3_light_barrier,FSK,22.984,0.47888
HBW_1,filtered,i5_pos_switch,FSK,22.966,0.49102
HBW_1,filtered,i6_pos_switch,FSK,23.012,0.51267
HBW_1,filtered,i7_pos_switch,FSK,22.965,0.48152
HBW_1,filtered,i8_pos_switch,FSK,23.016,0.49102
HBW_1,filtered,m4_speed,FSK,22.954,0.48891
HBW_1,filtered,current_pos_x,FSK,22.991,0.49366
HBW_1,filtered,current_pos_y,FSK,22.97,0.49472
HBW_1,filtered,target_pos_x,FSK,22.999,0.48416
HBW_1,filtered,target_pos_y,FSK,22.975,0.49208
HBW_1,filtered,amount_of_workpieces,FSK,22.982,0.49947
HBW_1,features,m1_speed_psd_peak,FSK,25.059,0.488
HBW_1,features,m1_speed_psd_mean_energy,FSK,25.04,0.504
HBW_1,features,m1_speed_psd_peak_freq,FSK,25.024,0.504
HBW_1,features,m1_speed_rms,FSK,25.091,0.512
HBW_1,features,m1_speed_mean,FSK,25.091,0.512
HBW_1,features,m1_speed_variance,FSK,25.059,0.496
HBW_1,features,m1_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,m2_speed_psd_peak,FSK,25.167,0.464
HBW_1,features,m2_speed_psd_mean_energy,FSK,25.254,0.44
HBW_1,features,m2_speed_psd_peak_freq,FSK,24.948,0.552
HBW_1,features,m2_speed_rms,FSK,25.152,0.496
HBW_1,features,m2_speed_mean,FSK,25.123,0.504
HBW_1,features,m2_speed_variance,FSK,25.155,0.44
HBW_1,features,m2_speed_fft_peak,FSK,25.123,0.504
HBW_1,features,m3_speed_psd_peak,FSK,25.079,0.504
HBW_1,features,m3_speed_psd_mean_energy,FSK,25.058,0.504
HBW_1,features,m3_speed_psd_peak_freq,FSK,25.007,0.504
HBW_1,features,m3_speed_rms,FSK,25.123,0.504
HBW_1,features,m3_speed_mean,FSK,25.091,0.512
HBW_1,features,m3_speed_variance,FSK,24.96,0.496
HBW_1,features,m3_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,m4_speed_psd_peak,FSK,25.253,0.464
HBW_1,features,m4_speed_psd_mean_energy,FSK,25.336,0.448
HBW_1,features,m4_speed_psd_peak_freq,FSK,25.265,0.44
HBW_1,features,m4_speed_rms,FSK,25.091,0.512
HBW_1,features,m4_speed_mean,FSK,25.091,0.512
HBW_1,features,m4_speed_variance,FSK,25.227,0.496
HBW_1,features,m4_speed_fft_peak,FSK,25.091,0.512
HBW_1,features,current_pos_x_psd_peak,FSK,25.071,0.472
HBW_1,features,current_pos_x_psd_mean_energy,FSK,25.107,0.456
HBW_1,features,current_pos_x_psd_peak_freq,FSK,24.932,0.528
HBW_1,features,current_pos_x_rms,FSK,25.177,0.472
HBW_1,features,current_pos_x_mean,FSK,25.228,0.48
HBW_1,features,current_pos_x_variance,FSK,25.102,0.448
HBW_1,features,current_pos_x_fft_peak,FSK,25.228,0.48
HBW_1,features,current_pos_y_psd_peak,FSK,25.12,0.496
HBW_1,features,current_pos_y_psd_mean_energy,FSK,25.134,0.488
HBW_1,features,current_pos_y_psd_peak_freq,FSK,24.96,0.52
HBW_1,features,current_pos_y_rms,FSK,24.996,0.536
HBW_1,features,current_pos_y_mean,FSK,25.045,0.544
HBW_1,features,current_pos_y_variance,FSK,25.018,0.504
HBW_1,features,current_pos_y_fft_peak,FSK,25.045,0.544
HBW_1,features,target_pos_x_psd_peak,FSK,25.233,0.456
HBW_1,features,target_pos_x_psd_mean_energy,FSK,25.274,0.44
HBW_1,features,target_pos_x_psd_peak_freq,FSK,24.903,0.536
HBW_1,features,target_pos_x_rms,FSK,25.35,0.456
HBW_1,features,target_pos_x_mean,FSK,25.189,0.488
HBW_1,features,target_pos_x_variance,FSK,25.203,0.432
HBW_1,features,target_pos_x_fft_peak,FSK,25.189,0.488
HBW_1,features,target_pos_y_psd_peak,FSK,25.084,0.504
HBW_1,features,target_pos_y_psd_mean_energy,FSK,25.084,0.504
HBW_1,features,target_pos_y_psd_peak_freq,FSK,25.003,0.512
HBW_1,features,target_pos_y_rms,FSK,24.996,0.536
HBW_1,features,target_pos_y_mean,FSK,24.913,0.56
HBW_1,features,target_pos_y_variance,FSK,25.018,0.512
HBW_1,features,target_pos_y_fft_peak,FSK,24.913,0.56
HBW_1,features,current_task_duration_psd_peak,FSK,25.091,0.472
HBW_1,features,current_task_duration_psd_mean_energy,FSK,25.091,0.472
HBW_1,features,current_task_duration_psd_peak_freq,FSK,24.992,0.504
HBW_1,features,current_task_duration_rms,FSK,25.15,0.464
HBW_1,features,current_task_duration_mean,FSK,25.15,0.464
HBW_1,features,current_task_duration_variance,FSK,25.15,0.464
HBW_1,features,current_task_duration_fft_peak,FSK,25.15,0.464
HBW_1,filtered,i4_light_barrier,PSK,22.98,0.0
HBW_1,filtered,m1_speed,PSK,22.98,0.0
HBW_1,filtered,m2_speed,PSK,22.98,0.0
HBW_1,filtered,m3_speed,PSK,22.98,0.0
HBW_1,filtered,current_task,PSK,22.98,0.0
HBW_1,filtered,current_task_duration,PSK,22.98,0.0
HBW_1,filtered,current_sub_task,PSK,22.98,0.0
HBW_1,filtered,i1_light_barrier,PSK,22.98,0.0
HBW_1,filtered,i2_light_barrier,PSK,22.98,0.0
HBW_1,filtered,i3_light_barrier,PSK,22.98,0.0
HBW_1,filtered,i5_pos_switch,PSK,22.98,0.0
HBW_1,filtered,i6_pos_switch,PSK,22.98,0.0
HBW_1,filtered,i7_pos_switch,PSK,22.98,0.0
HBW_1,filtered,i8_pos_switch,PSK,22.98,0.0
HBW_1,filtered,m4_speed,PSK,22.98,0.0
HBW_1,filtered,current_pos_x,PSK,22.98,0.0
HBW_1,filtered,current_pos_y,PSK,22.98,0.0
HBW_1,filtered,target_pos_x,PSK,22.98,0.0
HBW_1,filtered,target_pos_y,PSK,22.98,0.0
HBW_1,filtered,amount_of_workpieces,PSK,22.98,0.0
HBW_1,features,m1_speed_psd_peak,PSK,25.091,0.0
HBW_1,features,m1_speed_psd_mean_energy,PSK,25.091,0.0
HBW_1,features,m1_speed_psd_peak_freq,PSK,25.091,0.0
HBW_1,features,m1_speed_rms,PSK,25.091,0.0
HBW_1,features,m1_speed_mean,PSK,25.091,0.0
HBW_1,features,m1_speed_variance,PSK,25.091,0.0
HBW_1,features,m1_speed_fft_peak,PSK,25.091,0.0
HBW_1,features,m2_speed_psd_peak,PSK,25.091,0.0
HBW_1,features,m2_speed_psd_mean_energy,PSK,25.091,0.0
HBW_1,features,m2_speed_psd_peak_freq,PSK,25.091,0.0
HBW_1,features,m2_speed_rms,PSK,25.091,0.0
HBW_1,features,m2_speed_mean,PSK,25.091,0.0
HBW_1,features,m2_speed_variance,PSK,25.091,0.0
HBW_1,features,m2_speed_fft_peak,PSK,25.091,0.0
HBW_1,features,m3_speed_psd_peak,PSK,25.091,0.0
HBW_1,features,m3_speed_psd_mean_energy,PSK,25.091,0.0
HBW_1,features,m3_speed_psd_peak_freq,PSK,25.091,0.0
HBW_1,features,m3_speed_rms,PSK,25.091,0.0
HBW_1,features,m3_speed_mean,PSK,25.091,0.0
HBW_1,features,m3_speed_variance,PSK,25.091,0.0
HBW_1,features,m3_speed_fft_peak,PSK,25.091,0.0
HBW_1,features,m4_speed_psd_peak,PSK,25.091,0.0
HBW_1,features,m4_speed_psd_mean_energy,PSK,25.091,0.0
HBW_1,features,m4_speed_psd_peak_freq,PSK,25.091,0.0
HBW_1,features,m4_speed_rms,PSK,25.091,0.0
HBW_1,features,m4_speed_mean,PSK,25.091,0.0
HBW_1,features,m4_speed_variance,PSK,25.091,0.0
HBW_1,features,m4_speed_fft_peak,PSK,25.091,0.0
HBW_1,features,current_pos_x_psd_peak,PSK,25.091,0.0
HBW_1,features,current_pos_x_psd_mean_energy,PSK,25.091,0.0
HBW_1,features,current_pos_x_psd_peak_freq,PSK,25.091,0.0
HBW_1,features,current_pos_x_rms,PSK,25.091,0.0
HBW_1,features,current_pos_x_mean,PSK,25.091,0.0
HBW_1,features,current_pos_x_variance,PSK,25.091,0.0
HBW_1,features,current_pos_x_fft_peak,PSK,25.091,0.0
