timestamp,i3_pos_switch_baseband,i3_pos_switch_original_bits,i3_pos_switch_fsk_recovered,m2_speed_baseband,m2_speed_original_bits,m2_speed_fsk_recovered,o8_compressor_baseband,o8_compressor_original_bits,o8_compressor_fsk_recovered,o5_valve_baseband,o5_valve_original_bits,o5_valve_fsk_recovered,o6_valve_baseband,o6_valve_original_bits,o6_valve_fsk_recovered,current_state_binary
2023-02-06 14:13:08,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:10,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:12,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:14,0.0,0,0,0.514996,1,0,0.158068,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:16,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:18,0.0,0,1,0.514996,1,1,0.158068,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:20,0.0,0,0,0.514996,1,0,0.156802,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:22,0.0,0,0,0.514996,1,0,0.15588,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:24,0.0,0,1,0.514996,1,1,0.158292,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:26,0.0,0,0,0.514996,1,0,0.161582,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:28,0.0,0,0,0.514996,1,0,0.160436,0,0,0.0,0,0,0.0,0,0,1.0
2023-02-06 14:13:30,0.0,0,1,0.514996,1,1,0.154155,0,1,0.0,0,1,0.0,0,1,1.0
2023-02-06 14:13:32,0.0,0,1,0.514996,1,1,0.151077,0,1,0.0,0,1,0.0,0,1,1.0
